START,END,UTC,READABLE_START,READABLE_END,STEP,RUN,WALK,SPEED,DUT,DIST,CAL,DEVICE_UUID,DEVICE_TYPE
1635956700000,1635956759999,UTC+0900,2021-11-04 01:25:00,2021-11-04 01:25:59.999,37,4,33,1.8055556,16576,29.93,1.53,eyBgT68yQ9,WEARABLE
1635956760000,1635956819999,UTC+0900,2021-11-04 01:26:00,2021-11-04 01:26:59.999,61,0,55,1.0833334,40061,43.4,2.11,eyBgT68yQ9,WEARABLE
1635956820000,1635956879999,UTC+0900,2021-11-04 01:27:00,2021-11-04 01:27:59.999,107,0,113,1.3055556,59560,77.76,3.75,eyBgT68yQ9,WEARABLE
1635956880000,1635956939999,UTC+0900,2021-11-04 01:28:00,2021-11-04 01:28:59.999,110,0,110,1.4021667,60000,84.13,4.1,eyBgT68yQ9,WEARABLE
1635956940000,1635956999999,UTC+0900,2021-11-04 01:29:00,2021-11-04 01:29:59.999,106,0,106,1.3178333,60000,79.07,3.93,eyBgT68yQ9,WEARABLE
1635957000000,1635957059999,UTC+0900,2021-11-04 01:30:00,2021-11-04 01:30:59.999,103,0,103,1.2525,60000,75.15,3.47,eyBgT68yQ9,WEARABLE
1635957060000,1635957119999,UTC+0900,2021-11-04 01:31:00,2021-11-04 01:31:59.999,104,0,104,1.2708334,60000,76.25,3.52,eyBgT68yQ9,WEARABLE
1635957120000,1635957179999,UTC+0900,2021-11-04 01:32:00,2021-11-04 01:32:59.999,103,0,103,1.2566667,60000,75.4,3.41,eyBgT68yQ9,WEARABLE
1635957180000,1635957239999,UTC+0900,2021-11-04 01:33:00,2021-11-04 01:33:59.999,101,0,101,1.2286667,60000,73.72,3.69,eyBgT68yQ9,WEARABLE
1635957240000,1635957299999,UTC+0900,2021-11-04 01:34:00,2021-11-04 01:34:59.999,102,0,102,1.241,60000,74.46,3.45,eyBgT68yQ9,WEARABLE
1635957300000,1635957359999,UTC+0900,2021-11-04 01:35:00,2021-11-04 01:35:59.999,99,0,99,1.1831506,60000,71.68,3.69,eyBgT68yQ9,WEARABLE
1635957360000,1635957419999,UTC+0900,2021-11-04 01:36:00,2021-11-04 01:36:59.999,90,0,90,1.1388888,56994,64.91,3.36,eyBgT68yQ9,WEARABLE
1635957420000,1635957479999,UTC+0900,2021-11-04 01:37:00,2021-11-04 01:37:59.999,91,0,84,1.0695,60000,64.17,3.63,eyBgT68yQ9,WEARABLE
1635957480000,1635957539999,UTC+0900,2021-11-04 01:38:00,2021-11-04 01:38:59.999,66,0,73,1.0555556,38586,40.73,3.64,eyBgT68yQ9,WEARABLE
1635957540000,1635957599999,UTC+0900,2021-11-04 01:39:00,2021-11-04 01:39:59.999,23,0,23,1.6666666,10950,18.25,0.73,eyBgT68yQ9,WEARABLE
1635985200000,1635985259999,UTC+0900,2021-11-04 09:20:00,2021-11-04 09:20:59.999,17,6,11,1.4444444,8757,12.65,0.85,eyBgT68yQ9,WEARABLE
1635985260000,1635985319999,UTC+0900,2021-11-04 09:21:00,2021-11-04 09:21:59.999,18,2,16,1.3055556,10057,13.13,0.62,eyBgT68yQ9,WEARABLE
1635985320000,1635985379999,UTC+0900,2021-11-04 09:22:00,2021-11-04 09:22:59.999,21,1,20,2.3055556,7867,18.14,0.77,eyBgT68yQ9,WEARABLE
1635985380000,1635985439999,UTC+0900,2021-11-04 09:23:00,2021-11-04 09:23:59.999,136,44,92,2.0435104,54758,111.9,6.43,eyBgT68yQ9,WEARABLE
1635985440000,1635985499999,UTC+0900,2021-11-04 09:24:00,2021-11-04 09:24:59.999,144,70,74,2.235631,55908,124.991,7.59,eyBgT68yQ9,WEARABLE
