START,END,UTC,READABLE_START,READABLE_END,PHONE_STEP,WEARABLE_STEP,BOUT_TYPE,STEP,DUT
1625152140000,1625152200000,UTC+0900,2021-07-02 00:09:00,2021-07-02 00:10:00,0.0,7.0,WEARABLE_ONLY,7.0,1
1625154960000,1625155020000,UTC+0900,2021-07-02 00:56:00,2021-07-02 00:57:00,0.0,7.0,WEARABLE_ONLY,7.0,1
1625155080000,1625155140000,UTC+0900,2021-07-02 00:58:00,2021-07-02 00:59:00,0.0,3.0,WEARABLE_ONLY,3.0,1
1625156100000,1625156160000,UTC+0900,2021-07-02 01:15:00,2021-07-02 01:16:00,0.0,11.0,WEARABLE_ONLY,11.0,1
1625160480000,1625160540000,UTC+0900,2021-07-02 02:28:00,2021-07-02 02:29:00,0.0,15.0,WEARABLE_ONLY,15.0,1
1625171460000,1625171520000,UTC+0900,2021-07-02 05:31:00,2021-07-02 05:32:00,0.0,7.0,WEARABLE_ONLY,7.0,1
1625172840000,1625172900000,UTC+0900,2021-07-02 05:54:00,2021-07-02 05:55:00,0.0,3.0,WEARABLE_ONLY,3.0,1
1625173020000,1625173080000,UTC+0900,2021-07-02 05:57:00,2021-07-02 05:58:00,0.0,11.0,WEARABLE_ONLY,11.0,1
1625173320000,1625173380000,UTC+0900,2021-07-02 06:02:00,2021-07-02 06:03:00,0.0,18.0,WEARABLE_ONLY,18.0,1
1625177400000,1625177460000,UTC+0900,2021-07-02 07:10:00,2021-07-02 07:11:00,0.0,2.0,WEARABLE_ONLY,2.0,1
1625178900000,1625178960000,UTC+0900,2021-07-02 07:35:00,2021-07-02 07:36:00,0.0,6.0,WEARABLE_ONLY,6.0,1
1625184000000,1625184060000,UTC+0900,2021-07-02 09:00:00,2021-07-02 09:01:00,0.0,18.0,WEARABLE_ONLY,18.0,1
1625184120000,1625184180000,UTC+0900,2021-07-02 09:02:00,2021-07-02 09:03:00,0.0,18.0,WEARABLE_ONLY,18.0,1
1625184300000,1625184360000,UTC+0900,2021-07-02 09:05:00,2021-07-02 09:06:00,0.0,11.0,WEARABLE_ONLY,11.0,1
1625184600000,1625184660000,UTC+0900,2021-07-02 09:10:00,2021-07-02 09:11:00,0.0,17.0,WEARABLE_ONLY,17.0,1
1625184900000,1625184960000,UTC+0900,2021-07-02 09:15:00,2021-07-02 09:16:00,0.0,16.0,WEARABLE_ONLY,16.0,1
1625185200000,1625185260000,UTC+0900,2021-07-02 09:20:00,2021-07-02 09:21:00,0.0,10.0,WEARABLE_ONLY,10.0,1
1625185500000,1625185560000,UTC+0900,2021-07-02 09:25:00,2021-07-02 09:26:00,0.0,18.0,WEARABLE_ONLY,18.0,1
1625185800000,1625185860000,UTC+0900,2021-07-02 09:30:00,2021-07-02 09:31:00,0.0,15.0,WEARABLE_ONLY,15.0,1
1625187000000,1625187060000,UTC+0900,2021-07-02 09:50:00,2021-07-02 09:51:00,0.0,17.0,WEARABLE_ONLY,17.0,1
1625187300000,1625187360000,UTC+0900,2021-07-02 09:55:00,2021-07-02 09:56:00,0.0,12.0,WEARABLE_ONLY,12.0,1
1625187840000,1625187900000,UTC+0900,2021-07-02 10:04:00,2021-07-02 10:05:00,0.0,8.0,WEARABLE_ONLY,8.0,1
1625188140000,1625188200000,UTC+0900,2021-07-02 10:09:00,2021-07-02 10:10:00,0.0,1.0,WEARABLE_ONLY,1.0,1
1625188620000,1625188740000,UTC+0900,2021-07-02 10:17:00,2021-07-02 10:19:00,24.0,0.0,PHONE_ONLY,24.0,2
1625190000000,1625190060000,UTC+0900,2021-07-02 10:40:00,2021-07-02 10:41:00,8.0,0.0,PHONE_ONLY,8.0,1
1625192700000,1625193660000,UTC+0900,2021-07-02 11:25:00,2021-07-02 11:41:00,1328.0,1275.0,BOTH,1301.5,16
1625195520000,1625195580000,UTC+0900,2021-07-02 12:12:00,2021-07-02 12:13:00,9.0,10.0,BOTH,9.5,1
1625195640000,1625195820000,UTC+0900,2021-07-02 12:14:00,2021-07-02 12:17:00,87.0,60.0,BOTH,73.5,3
1625196000000,1625196300000,UTC+0900,2021-07-02 12:20:00,2021-07-02 12:25:00,291.0,319.0,BOTH,305.0,5
1625196360000,1625197080000,UTC+0900,2021-07-02 12:26:00,2021-07-02 12:38:00,1166.0,1171.0,BOTH,1168.5,12
1625197140000,1625197500000,UTC+0900,2021-07-02 12:39:00,2021-07-02 12:45:00,555.0,592.0,BOTH,573.5,6
1625198940000,1625199000000,UTC+0900,2021-07-02 13:09:00,2021-07-02 13:10:00,0.0,11.0,WEARABLE_ONLY,11.0,1
1625199060000,1625199420000,UTC+0900,2021-07-02 13:11:00,2021-07-02 13:17:00,0.0,274.0,WEARABLE_ONLY,274.0,6
