START,END,UTC,READABLE_START,READABLE_END,PHONE_STEP,WEARABLE_STEP,BOUT_TYPE,STEP,DUT
1635293880000,1635293940000,UTC+0900,2021-10-27 09:18:00,2021-10-27 09:19:00,17.0,0.0,PHONE_ONLY,17.0,1
1635294540000,1635294600000,UTC+0900,2021-10-27 09:29:00,2021-10-27 09:30:00,6.0,0.0,PHONE_ONLY,6.0,1
1635295440000,1635295500000,UTC+0900,2021-10-27 09:44:00,2021-10-27 09:45:00,15.0,0.0,PHONE_ONLY,15.0,1
1635295680000,1635296580000,UTC+0900,2021-10-27 09:48:00,2021-10-27 10:03:00,1198.0,1229.0,BOTH,1213.5,15
1635296940000,1635297180000,UTC+0900,2021-10-27 10:09:00,2021-10-27 10:13:00,92.0,74.0,BOTH,83.0,4
1635297240000,1635297420000,UTC+0900,2021-10-27 10:14:00,2021-10-27 10:17:00,13.0,20.0,BOTH,16.5,3
1635297540000,1635298380000,UTC+0900,2021-10-27 10:19:00,2021-10-27 10:33:00,550.0,519.0,BOTH,534.5,14
1635298560000,1635298860000,UTC+0900,2021-10-27 10:36:00,2021-10-27 10:41:00,332.0,259.0,BOTH,295.5,5
1635299580000,1635299640000,UTC+0900,2021-10-27 10:53:00,2021-10-27 10:54:00,0.0,11.0,WEARABLE_ONLY,11.0,1
1635299880000,1635300000000,UTC+0900,2021-10-27 10:58:00,2021-10-27 11:00:00,0.0,49.0,WEARABLE_ONLY,49.0,2
1635300120000,1635300180000,UTC+0900,2021-10-27 11:02:00,2021-10-27 11:03:00,0.0,16.0,WEARABLE_ONLY,16.0,1
1635300420000,1635300480000,UTC+0900,2021-10-27 11:07:00,2021-10-27 11:08:00,0.0,13.0,WEARABLE_ONLY,13.0,1
1635300600000,1635300720000,UTC+0900,2021-10-27 11:10:00,2021-10-27 11:12:00,0.0,27.0,WEARABLE_ONLY,27.0,2
1635300900000,1635300960000,UTC+0900,2021-10-27 11:15:00,2021-10-27 11:16:00,0.0,12.0,WEARABLE_ONLY,12.0,1
1635301020000,1635301080000,UTC+0900,2021-10-27 11:17:00,2021-10-27 11:18:00,0.0,11.0,WEARABLE_ONLY,11.0,1
1635302820000,1635303000000,UTC+0900,2021-10-27 11:47:00,2021-10-27 11:50:00,147.0,175.0,BOTH,161.0,3
1635303540000,1635303840000,UTC+0900,2021-10-27 11:59:00,2021-10-27 12:04:00,166.0,137.0,BOTH,151.5,5
1635304320000,1635304440000,UTC+0900,2021-10-27 12:12:00,2021-10-27 12:14:00,46.0,0.0,PHONE_ONLY,46.0,2
1635305100000,1635305880000,UTC+0900,2021-10-27 12:25:00,2021-10-27 12:38:00,1000.0,1046.0,BOTH,1023.0,13
1635306000000,1635306060000,UTC+0900,2021-10-27 12:40:00,2021-10-27 12:41:00,0.0,10.0,WEARABLE_ONLY,10.0,1
1635306180000,1635306300000,UTC+0900,2021-10-27 12:43:00,2021-10-27 12:45:00,45.0,31.0,BOTH,38.0,2
1635310920000,1635311100000,UTC+0900,2021-10-27 14:02:00,2021-10-27 14:05:00,92.0,0.0,PHONE_ONLY,92.0,3
1635311220000,1635311280000,UTC+0900,2021-10-27 14:07:00,2021-10-27 14:08:00,12.0,12.0,BOTH,12.0,1
1635312180000,1635312240000,UTC+0900,2021-10-27 14:23:00,2021-10-27 14:24:00,6.0,0.0,PHONE_ONLY,6.0,1
1635314220000,1635314400000,UTC+0900,2021-10-27 14:57:00,2021-10-27 15:00:00,57.0,0.0,PHONE_ONLY,57.0,3
1635314520000,1635314760000,UTC+0900,2021-10-27 15:02:00,2021-10-27 15:06:00,111.0,0.0,PHONE_ONLY,111.0,4
1635319020000,1635319140000,UTC+0900,2021-10-27 16:17:00,2021-10-27 16:19:00,36.0,9.0,BOTH,22.5,2
1635321720000,1635322740000,UTC+0900,2021-10-27 17:02:00,2021-10-27 17:19:00,1603.0,1816.0,BOTH,1709.5,17
1635322800000,1635322860000,UTC+0900,2021-10-27 17:20:00,2021-10-27 17:21:00,73.0,69.0,BOTH,71.0,1
1635322920000,1635323100000,UTC+0900,2021-10-27 17:22:00,2021-10-27 17:25:00,41.0,18.0,BOTH,29.5,3
1635323160000,1635323400000,UTC+0900,2021-10-27 17:26:00,2021-10-27 17:30:00,254.0,243.0,BOTH,248.5,4
1635323460000,1635324660000,UTC+0900,2021-10-27 17:31:00,2021-10-27 17:51:00,2116.0,2093.0,BOTH,2104.5,20
1635325200000,1635325440000,UTC+0900,2021-10-27 18:00:00,2021-10-27 18:04:00,137.0,0.0,PHONE_ONLY,137.0,4
1635326700000,1635326820000,UTC+0900,2021-10-27 18:25:00,2021-10-27 18:27:00,24.0,0.0,PHONE_ONLY,24.0,2
1635326880000,1635326940000,UTC+0900,2021-10-27 18:28:00,2021-10-27 18:29:00,9.0,9.0,BOTH,9.0,1
1635331980000,1635332040000,UTC+0900,2021-10-27 19:53:00,2021-10-27 19:54:00,7.0,0.0,PHONE_ONLY,7.0,1
1635332100000,1635332220000,UTC+0900,2021-10-27 19:55:00,2021-10-27 19:57:00,41.0,0.0,PHONE_ONLY,41.0,2
1635332400000,1635332460000,UTC+0900,2021-10-27 20:00:00,2021-10-27 20:01:00,22.0,0.0,PHONE_ONLY,22.0,1
1635333960000,1635334020000,UTC+0900,2021-10-27 20:26:00,2021-10-27 20:27:00,6.0,0.0,PHONE_ONLY,6.0,1
1635379920000,1635380400000,UTC+0900,2021-10-28 09:12:00,2021-10-28 09:20:00,161.0,255.0,BOTH,208.0,8
1635380460000,1635380520000,UTC+0900,2021-10-28 09:21:00,2021-10-28 09:22:00,79.0,0.0,PHONE_ONLY,79.0,1
1635380580000,1635380760000,UTC+0900,2021-10-28 09:23:00,2021-10-28 09:26:00,47.0,0.0,PHONE_ONLY,47.0,3
1635380940000,1635381060000,UTC+0900,2021-10-28 09:29:00,2021-10-28 09:31:00,103.0,75.0,BOTH,89.0,2
1635381180000,1635381300000,UTC+0900,2021-10-28 09:33:00,2021-10-28 09:35:00,49.0,0.0,PHONE_ONLY,49.0,2
1635381420000,1635381480000,UTC+0900,2021-10-28 09:37:00,2021-10-28 09:38:00,24.0,0.0,PHONE_ONLY,24.0,1
1635381540000,1635381720000,UTC+0900,2021-10-28 09:39:00,2021-10-28 09:42:00,96.0,130.0,BOTH,113.0,3
1635381840000,1635381900000,UTC+0900,2021-10-28 09:44:00,2021-10-28 09:45:00,22.0,0.0,PHONE_ONLY,22.0,1
1635382140000,1635382200000,UTC+0900,2021-10-28 09:49:00,2021-10-28 09:50:00,42.0,11.0,BOTH,26.5,1
1635382260000,1635382320000,UTC+0900,2021-10-28 09:51:00,2021-10-28 09:52:00,15.0,0.0,PHONE_ONLY,15.0,1
1635382380000,1635382440000,UTC+0900,2021-10-28 09:53:00,2021-10-28 09:54:00,0.0,11.0,WEARABLE_ONLY,11.0,1
1635382500000,1635382620000,UTC+0900,2021-10-28 09:55:00,2021-10-28 09:57:00,0.0,35.0,WEARABLE_ONLY,35.0,2
1635382740000,1635382800000,UTC+0900,2021-10-28 09:59:00,2021-10-28 10:00:00,21.0,22.0,BOTH,21.5,1
1635383160000,1635383220000,UTC+0900,2021-10-28 10:06:00,2021-10-28 10:07:00,15.0,0.0,PHONE_ONLY,15.0,1
1635383580000,1635385500000,UTC+0900,2021-10-28 10:13:00,2021-10-28 10:45:00,2939.0,3091.0,BOTH,3015.0,32
1635386400000,1635387600000,UTC+0900,2021-10-28 11:00:00,2021-10-28 11:20:00,1417.0,1524.0,BOTH,1470.5,20
1635388320000,1635388680000,UTC+0900,2021-10-28 11:32:00,2021-10-28 11:38:00,554.0,573.0,BOTH,563.5,6
1635388800000,1635389100000,UTC+0900,2021-10-28 11:40:00,2021-10-28 11:45:00,213.0,233.0,BOTH,223.0,5
1635390420000,1635390900000,UTC+0900,2021-10-28 12:07:00,2021-10-28 12:15:00,726.0,782.0,BOTH,754.0,8
1635393120000,1635393240000,UTC+0900,2021-10-28 12:52:00,2021-10-28 12:54:00,34.0,0.0,PHONE_ONLY,34.0,2
1635393600000,1635393780000,UTC+0900,2021-10-28 13:00:00,2021-10-28 13:03:00,130.0,67.0,BOTH,98.5,3
