START,END,UTC,READABLE_START,READABLE_END,PHONE_STEP,WEARABLE_STEP,BOUT_TYPE,STEP,DUT
1649279760000,1649280120000,UTC+0900,2022-04-07 06:16:00,2022-04-07 06:22:00,128.0,109.0,BOTH,118.5,6
1649281860000,1649282400000,UTC+0900,2022-04-07 06:51:00,2022-04-07 07:00:00,591.0,528.0,BOTH,559.5,9
1649282640000,1649282940000,UTC+0900,2022-04-07 07:04:00,2022-04-07 07:09:00,265.0,165.0,BOTH,215.0,5
1649283000000,1649283240000,UTC+0900,2022-04-07 07:10:00,2022-04-07 07:14:00,104.0,78.0,BOTH,91.0,4
1649283720000,1649284140000,UTC+0900,2022-04-07 07:22:00,2022-04-07 07:29:00,311.0,245.0,BOTH,278.0,7
1649285040000,1649285160000,UTC+0900,2022-04-07 07:44:00,2022-04-07 07:46:00,14.0,10.0,BOTH,12.0,2
1649289180000,1649289420000,UTC+0900,2022-04-07 08:53:00,2022-04-07 08:57:00,213.0,161.0,BOTH,187.0,4
1649289480000,1649289600000,UTC+0900,2022-04-07 08:58:00,2022-04-07 09:00:00,61.0,33.0,BOTH,47.0,2
1649289660000,1649289720000,UTC+0900,2022-04-07 09:01:00,2022-04-07 09:02:00,10.0,26.0,BOTH,18.0,1
1649289780000,1649290020000,UTC+0900,2022-04-07 09:03:00,2022-04-07 09:07:00,152.0,88.0,BOTH,120.0,4
1649290260000,1649290320000,UTC+0900,2022-04-07 09:11:00,2022-04-07 09:12:00,0.0,14.0,WEARABLE_ONLY,14.0,1
1649290380000,1649290680000,UTC+0900,2022-04-07 09:13:00,2022-04-07 09:18:00,141.0,48.0,BOTH,94.5,5
1649290800000,1649291040000,UTC+0900,2022-04-07 09:20:00,2022-04-07 09:24:00,128.0,84.0,BOTH,106.0,4
1649291160000,1649291280000,UTC+0900,2022-04-07 09:26:00,2022-04-07 09:28:00,130.0,98.0,BOTH,114.0,2
1649291880000,1649292060000,UTC+0900,2022-04-07 09:38:00,2022-04-07 09:41:00,143.0,70.0,BOTH,106.5,3
1649292120000,1649292240000,UTC+0900,2022-04-07 09:42:00,2022-04-07 09:44:00,97.0,32.0,BOTH,64.5,2
1649292300000,1649292360000,UTC+0900,2022-04-07 09:45:00,2022-04-07 09:46:00,24.0,0.0,PHONE_ONLY,24.0,1
1649293080000,1649293200000,UTC+0900,2022-04-07 09:58:00,2022-04-07 10:00:00,65.0,65.0,BOTH,65.0,2
1649293260000,1649293380000,UTC+0900,2022-04-07 10:01:00,2022-04-07 10:03:00,25.0,21.0,BOTH,23.0,2
1649293560000,1649293740000,UTC+0900,2022-04-07 10:06:00,2022-04-07 10:09:00,14.0,10.0,BOTH,12.0,3
1649293860000,1649294100000,UTC+0900,2022-04-07 10:11:00,2022-04-07 10:15:00,106.0,53.0,BOTH,79.5,4
1649294460000,1649294580000,UTC+0900,2022-04-07 10:21:00,2022-04-07 10:23:00,71.0,47.0,BOTH,59.0,2
1649294640000,1649294940000,UTC+0900,2022-04-07 10:24:00,2022-04-07 10:29:00,238.0,189.0,BOTH,213.5,5
1649295240000,1649295360000,UTC+0900,2022-04-07 10:34:00,2022-04-07 10:36:00,15.0,10.0,BOTH,12.5,2
1649295480000,1649295540000,UTC+0900,2022-04-07 10:38:00,2022-04-07 10:39:00,55.0,59.0,BOTH,57.0,1
1649297460000,1649297640000,UTC+0900,2022-04-07 11:11:00,2022-04-07 11:14:00,165.0,124.0,BOTH,144.5,3
1649301540000,1649302080000,UTC+0900,2022-04-07 12:19:00,2022-04-07 12:28:00,437.0,393.0,BOTH,415.0,9
1649302200000,1649302380000,UTC+0900,2022-04-07 12:30:00,2022-04-07 12:33:00,128.0,157.0,BOTH,142.5,3
1649302560000,1649302740000,UTC+0900,2022-04-07 12:36:00,2022-04-07 12:39:00,144.0,124.0,BOTH,134.0,3
1649302800000,1649302980000,UTC+0900,2022-04-07 12:40:00,2022-04-07 12:43:00,0.0,153.0,WEARABLE_ONLY,153.0,3
1649304420000,1649304480000,UTC+0900,2022-04-07 13:07:00,2022-04-07 13:08:00,0.0,10.0,WEARABLE_ONLY,10.0,1
1649304780000,1649304900000,UTC+0900,2022-04-07 13:13:00,2022-04-07 13:15:00,11.0,11.0,BOTH,11.0,2
1649305740000,1649305800000,UTC+0900,2022-04-07 13:29:00,2022-04-07 13:30:00,35.0,0.0,PHONE_ONLY,35.0,1
1649306940000,1649307000000,UTC+0900,2022-04-07 13:49:00,2022-04-07 13:50:00,6.0,0.0,PHONE_ONLY,6.0,1
1649315220000,1649315280000,UTC+0900,2022-04-07 16:07:00,2022-04-07 16:08:00,0.0,15.0,WEARABLE_ONLY,15.0,1
1649316660000,1649317020000,UTC+0900,2022-04-07 16:31:00,2022-04-07 16:37:00,254.0,263.0,BOTH,258.5,6
1649318460000,1649318520000,UTC+0900,2022-04-07 17:01:00,2022-04-07 17:02:00,7.0,0.0,PHONE_ONLY,7.0,1
1649323260000,1649323380000,UTC+0900,2022-04-07 18:21:00,2022-04-07 18:23:00,115.0,110.0,BOTH,112.5,2
1649323440000,1649323500000,UTC+0900,2022-04-07 18:24:00,2022-04-07 18:25:00,41.0,36.0,BOTH,38.5,1
1649324460000,1649324760000,UTC+0900,2022-04-07 18:41:00,2022-04-07 18:46:00,232.0,207.0,BOTH,219.5,5
1649325120000,1649325240000,UTC+0900,2022-04-07 18:52:00,2022-04-07 18:54:00,19.0,28.0,BOTH,23.5,2
1649325300000,1649325720000,UTC+0900,2022-04-07 18:55:00,2022-04-07 19:02:00,503.0,502.0,BOTH,502.5,7
1649325840000,1649325900000,UTC+0900,2022-04-07 19:04:00,2022-04-07 19:05:00,16.0,0.0,PHONE_ONLY,16.0,1
1649328120000,1649328300000,UTC+0900,2022-04-07 19:42:00,2022-04-07 19:45:00,214.0,202.0,BOTH,208.0,3
1649328360000,1649328480000,UTC+0900,2022-04-07 19:46:00,2022-04-07 19:48:00,26.0,45.0,BOTH,35.5,2
1649329980000,1649330040000,UTC+0900,2022-04-07 20:13:00,2022-04-07 20:14:00,8.0,0.0,PHONE_ONLY,8.0,1
1649331960000,1649332080000,UTC+0900,2022-04-07 20:46:00,2022-04-07 20:48:00,20.0,0.0,PHONE_ONLY,20.0,2
1649337420000,1649337480000,UTC+0900,2022-04-07 22:17:00,2022-04-07 22:18:00,14.0,0.0,PHONE_ONLY,14.0,1
1649339040000,1649339100000,UTC+0900,2022-04-07 22:44:00,2022-04-07 22:45:00,9.0,0.0,PHONE_ONLY,9.0,1
1649339520000,1649339580000,UTC+0900,2022-04-07 22:52:00,2022-04-07 22:53:00,11.0,0.0,PHONE_ONLY,11.0,1
1649341800000,1649341920000,UTC+0900,2022-04-07 23:30:00,2022-04-07 23:32:00,10.0,0.0,PHONE_ONLY,10.0,2
1649365200000,1649365260000,UTC+0900,2022-04-08 06:00:00,2022-04-08 06:01:00,12.0,0.0,PHONE_ONLY,12.0,1
1649365800000,1649366040000,UTC+0900,2022-04-08 06:10:00,2022-04-08 06:14:00,218.0,220.0,BOTH,219.0,4
1649367840000,1649368260000,UTC+0900,2022-04-08 06:44:00,2022-04-08 06:51:00,511.0,517.0,BOTH,514.0,7
1649368320000,1649368500000,UTC+0900,2022-04-08 06:52:00,2022-04-08 06:55:00,140.0,82.0,BOTH,111.0,3
1649368800000,1649368920000,UTC+0900,2022-04-08 07:00:00,2022-04-08 07:02:00,59.0,22.0,BOTH,40.5,2
1649369040000,1649369220000,UTC+0900,2022-04-08 07:04:00,2022-04-08 07:07:00,42.0,11.0,BOTH,26.5,3
1649369280000,1649369400000,UTC+0900,2022-04-08 07:08:00,2022-04-08 07:10:00,136.0,157.0,BOTH,146.5,2
1649369700000,1649369880000,UTC+0900,2022-04-08 07:15:00,2022-04-08 07:18:00,40.0,53.0,BOTH,46.5,3
1649370240000,1649370300000,UTC+0900,2022-04-08 07:24:00,2022-04-08 07:25:00,0.0,10.0,WEARABLE_ONLY,10.0,1
1649370360000,1649370420000,UTC+0900,2022-04-08 07:26:00,2022-04-08 07:27:00,0.0,11.0,WEARABLE_ONLY,11.0,1
1649370480000,1649370900000,UTC+0900,2022-04-08 07:28:00,2022-04-08 07:35:00,309.0,267.0,BOTH,288.0,7
1649371440000,1649371500000,UTC+0900,2022-04-08 07:44:00,2022-04-08 07:45:00,18.0,10.0,BOTH,14.0,1
1649371620000,1649371920000,UTC+0900,2022-04-08 07:47:00,2022-04-08 07:52:00,288.0,263.0,BOTH,275.5,5
1649371980000,1649372100000,UTC+0900,2022-04-08 07:53:00,2022-04-08 07:55:00,84.0,59.0,BOTH,71.5,2
1649372460000,1649372700000,UTC+0900,2022-04-08 08:01:00,2022-04-08 08:05:00,119.0,75.0,BOTH,97.0,4
1649372760000,1649372880000,UTC+0900,2022-04-08 08:06:00,2022-04-08 08:08:00,60.0,23.0,BOTH,41.5,2
1649373480000,1649373540000,UTC+0900,2022-04-08 08:18:00,2022-04-08 08:19:00,0.0,10.0,WEARABLE_ONLY,10.0,1
1649373600000,1649373960000,UTC+0900,2022-04-08 08:20:00,2022-04-08 08:26:00,164.0,118.0,BOTH,141.0,6
1649374200000,1649374440000,UTC+0900,2022-04-08 08:30:00,2022-04-08 08:34:00,123.0,101.0,BOTH,112.0,4
1649374500000,1649374560000,UTC+0900,2022-04-08 08:35:00,2022-04-08 08:36:00,40.0,12.0,BOTH,26.0,1
1649375400000,1649375520000,UTC+0900,2022-04-08 08:50:00,2022-04-08 08:52:00,104.0,40.0,BOTH,72.0,2
1649375580000,1649375700000,UTC+0900,2022-04-08 08:53:00,2022-04-08 08:55:00,50.0,36.0,BOTH,43.0,2
1649375760000,1649375940000,UTC+0900,2022-04-08 08:56:00,2022-04-08 08:59:00,60.0,44.0,BOTH,52.0,3
1649376120000,1649376300000,UTC+0900,2022-04-08 09:02:00,2022-04-08 09:05:00,104.0,23.0,BOTH,63.5,3
1649376420000,1649376660000,UTC+0900,2022-04-08 09:07:00,2022-04-08 09:11:00,166.0,87.0,BOTH,126.5,4
1649376720000,1649376840000,UTC+0900,2022-04-08 09:12:00,2022-04-08 09:14:00,41.0,30.0,BOTH,35.5,2
1649376900000,1649377320000,UTC+0900,2022-04-08 09:15:00,2022-04-08 09:22:00,247.0,162.0,BOTH,204.5,7
1649377620000,1649377800000,UTC+0900,2022-04-08 09:27:00,2022-04-08 09:30:00,122.0,53.0,BOTH,87.5,3
1649377860000,1649378220000,UTC+0900,2022-04-08 09:31:00,2022-04-08 09:37:00,373.0,386.0,BOTH,379.5,6
1649378640000,1649378700000,UTC+0900,2022-04-08 09:44:00,2022-04-08 09:45:00,0.0,16.0,WEARABLE_ONLY,16.0,1
1649380380000,1649380500000,UTC+0900,2022-04-08 10:13:00,2022-04-08 10:15:00,122.0,85.0,BOTH,103.5,2
1649380560000,1649380620000,UTC+0900,2022-04-08 10:16:00,2022-04-08 10:17:00,45.0,24.0,BOTH,34.5,1
1649380740000,1649380800000,UTC+0900,2022-04-08 10:19:00,2022-04-08 10:20:00,8.0,12.0,BOTH,10.0,1
