START,END,UTC,READABLE_START,READABLE_END,PHONE_STEP,WEARABLE_STEP,BOUT_TYPE,STEP,DUT
1635176460000,1635178740000,UTC+0900,2021-10-26 00:41:00,2021-10-26 01:19:00,3477.0,3513.0,BOTH,3495.0,38
1635211500000,1635211620000,UTC+0900,2021-10-26 10:25:00,2021-10-26 10:27:00,47.0,0.0,PHONE_ONLY,47.0,2
1635212880000,1635212940000,UTC+0900,2021-10-26 10:48:00,2021-10-26 10:49:00,6.0,0.0,PHONE_ONLY,6.0,1
1635213300000,1635213360000,UTC+0900,2021-10-26 10:55:00,2021-10-26 10:56:00,14.0,0.0,PHONE_ONLY,14.0,1
1635221580000,1635221700000,UTC+0900,2021-10-26 13:13:00,2021-10-26 13:15:00,15.0,0.0,PHONE_ONLY,15.0,2
1635223020000,1635223080000,UTC+0900,2021-10-26 13:37:00,2021-10-26 13:38:00,14.0,0.0,PHONE_ONLY,14.0,1
1635223680000,1635225960000,UTC+0900,2021-10-26 13:48:00,2021-10-26 14:26:00,3244.0,1755.0,BOTH,2499.5,38
1635227640000,1635227700000,UTC+0900,2021-10-26 14:54:00,2021-10-26 14:55:00,0.0,0.0,BOTH,0.0,1
1635228600000,1635228720000,UTC+0900,2021-10-26 15:10:00,2021-10-26 15:12:00,0.0,25.0,WEARABLE_ONLY,25.0,2
1635230100000,1635230340000,UTC+0900,2021-10-26 15:35:00,2021-10-26 15:39:00,141.0,110.0,BOTH,125.5,4
1635231900000,1635232140000,UTC+0900,2021-10-26 16:05:00,2021-10-26 16:09:00,128.0,166.0,BOTH,147.0,4
1635234960000,1635235200000,UTC+0900,2021-10-26 16:56:00,2021-10-26 17:00:00,145.0,111.0,BOTH,128.0,4
1635235260000,1635235440000,UTC+0900,2021-10-26 17:01:00,2021-10-26 17:04:00,85.0,22.0,BOTH,53.5,3
1635237480000,1635237720000,UTC+0900,2021-10-26 17:38:00,2021-10-26 17:42:00,121.0,146.0,BOTH,133.5,4
1635240540000,1635240840000,UTC+0900,2021-10-26 18:29:00,2021-10-26 18:34:00,247.0,209.0,BOTH,228.0,5
1635241560000,1635241620000,UTC+0900,2021-10-26 18:46:00,2021-10-26 18:47:00,0.0,56.0,WEARABLE_ONLY,56.0,1
1635241680000,1635241740000,UTC+0900,2021-10-26 18:48:00,2021-10-26 18:49:00,0.0,75.0,WEARABLE_ONLY,75.0,1
1635243240000,1635243300000,UTC+0900,2021-10-26 19:14:00,2021-10-26 19:15:00,0.0,27.0,WEARABLE_ONLY,27.0,1
1635243720000,1635243840000,UTC+0900,2021-10-26 19:22:00,2021-10-26 19:24:00,108.0,103.0,BOTH,105.5,2
1635244500000,1635244680000,UTC+0900,2021-10-26 19:35:00,2021-10-26 19:38:00,172.0,174.0,BOTH,173.0,3
1635244920000,1635245040000,UTC+0900,2021-10-26 19:42:00,2021-10-26 19:44:00,78.0,58.0,BOTH,68.0,2
1635247620000,1635247680000,UTC+0900,2021-10-26 20:27:00,2021-10-26 20:28:00,0.0,13.0,WEARABLE_ONLY,13.0,1
1635247740000,1635247800000,UTC+0900,2021-10-26 20:29:00,2021-10-26 20:30:00,0.0,10.0,WEARABLE_ONLY,10.0,1
