START,END,UTC,READABLE_START,READABLE_END,PHONE_STEP,WEARABLE_STEP,BOUT_TYPE,STEP,DUT
1646934180000,1646934240000,UTC+0900,2022-03-11 02:43:00,2022-03-11 02:44:00,19.0,0.0,PHONE_ONLY,19.0,1
1646962860000,1646962920000,UTC+0900,2022-03-11 10:41:00,2022-03-11 10:42:00,0.0,18.0,WEARABLE_ONLY,18.0,1
1646963100000,1646963340000,UTC+0900,2022-03-11 10:45:00,2022-03-11 10:49:00,0.0,44.0,WEARABLE_ONLY,44.0,4
1646967660000,1646967840000,UTC+0900,2022-03-11 12:01:00,2022-03-11 12:04:00,0.0,159.0,WEARABLE_ONLY,159.0,3
1646985660000,1646985720000,UTC+0900,2022-03-11 17:01:00,2022-03-11 17:02:00,0.0,10.0,WEARABLE_ONLY,10.0,1
1646985780000,1646986440000,UTC+0900,2022-03-11 17:03:00,2022-03-11 17:14:00,647.0,388.0,BOTH,517.5,11
1646986500000,1646986620000,UTC+0900,2022-03-11 17:15:00,2022-03-11 17:17:00,143.0,142.0,BOTH,142.5,2
1646987640000,1646987700000,UTC+0900,2022-03-11 17:34:00,2022-03-11 17:35:00,6.0,0.0,PHONE_ONLY,6.0,1
1646987880000,1646987940000,UTC+0900,2022-03-11 17:38:00,2022-03-11 17:39:00,0.0,10.0,WEARABLE_ONLY,10.0,1
1646988120000,1646988240000,UTC+0900,2022-03-11 17:42:00,2022-03-11 17:44:00,35.0,24.0,BOTH,29.5,2
1646988300000,1646988480000,UTC+0900,2022-03-11 17:45:00,2022-03-11 17:48:00,0.0,76.0,WEARABLE_ONLY,76.0,3
1646988780000,1646989500000,UTC+0900,2022-03-11 17:53:00,2022-03-11 18:05:00,856.0,792.0,BOTH,824.0,12
1646992560000,1646992620000,UTC+0900,2022-03-11 18:56:00,2022-03-11 18:57:00,18.0,26.0,BOTH,22.0,1
1646993220000,1646993280000,UTC+0900,2022-03-11 19:07:00,2022-03-11 19:08:00,0.0,19.0,WEARABLE_ONLY,19.0,1
1646994300000,1646994360000,UTC+0900,2022-03-11 19:25:00,2022-03-11 19:26:00,0.0,11.0,WEARABLE_ONLY,11.0,1
1646994540000,1646994600000,UTC+0900,2022-03-11 19:29:00,2022-03-11 19:30:00,0.0,12.0,WEARABLE_ONLY,12.0,1
1646994660000,1646994720000,UTC+0900,2022-03-11 19:31:00,2022-03-11 19:32:00,0.0,13.0,WEARABLE_ONLY,13.0,1
1646995560000,1646995620000,UTC+0900,2022-03-11 19:46:00,2022-03-11 19:47:00,0.0,14.0,WEARABLE_ONLY,14.0,1
1646998500000,1646998560000,UTC+0900,2022-03-11 20:35:00,2022-03-11 20:36:00,0.0,27.0,WEARABLE_ONLY,27.0,1
1647001440000,1647001500000,UTC+0900,2022-03-11 21:24:00,2022-03-11 21:25:00,0.0,10.0,WEARABLE_ONLY,10.0,1
1647001860000,1647001980000,UTC+0900,2022-03-11 21:31:00,2022-03-11 21:33:00,0.0,53.0,WEARABLE_ONLY,53.0,2
1647002040000,1647002340000,UTC+0900,2022-03-11 21:34:00,2022-03-11 21:39:00,24.0,128.0,BOTH,76.0,5
1647003300000,1647003360000,UTC+0900,2022-03-11 21:55:00,2022-03-11 21:56:00,26.0,23.0,BOTH,24.5,1
1647003420000,1647003600000,UTC+0900,2022-03-11 21:57:00,2022-03-11 22:00:00,233.0,253.0,BOTH,243.0,3
1647003840000,1647003900000,UTC+0900,2022-03-11 22:04:00,2022-03-11 22:05:00,16.0,0.0,PHONE_ONLY,16.0,1
1647004020000,1647004080000,UTC+0900,2022-03-11 22:07:00,2022-03-11 22:08:00,12.0,0.0,PHONE_ONLY,12.0,1
1647004560000,1647004620000,UTC+0900,2022-03-11 22:16:00,2022-03-11 22:17:00,16.0,0.0,PHONE_ONLY,16.0,1
1647004680000,1647004740000,UTC+0900,2022-03-11 22:18:00,2022-03-11 22:19:00,16.0,0.0,PHONE_ONLY,16.0,1
1647004860000,1647004920000,UTC+0900,2022-03-11 22:21:00,2022-03-11 22:22:00,12.0,0.0,PHONE_ONLY,12.0,1
1647004980000,1647005100000,UTC+0900,2022-03-11 22:23:00,2022-03-11 22:25:00,31.0,12.0,BOTH,21.5,2
1647005220000,1647006240000,UTC+0900,2022-03-11 22:27:00,2022-03-11 22:44:00,1659.0,1656.0,BOTH,1657.5,17
1647013800000,1647013860000,UTC+0900,2022-03-12 00:50:00,2022-03-12 00:51:00,0.0,13.0,WEARABLE_ONLY,13.0,1
1647019440000,1647019800000,UTC+0900,2022-03-12 02:24:00,2022-03-12 02:30:00,0.0,115.0,WEARABLE_ONLY,115.0,6
1647019980000,1647020100000,UTC+0900,2022-03-12 02:33:00,2022-03-12 02:35:00,0.0,22.0,WEARABLE_ONLY,22.0,2
