START,END,UTC,READABLE_START,READABLE_END,PHONE_STEP,WEARABLE_STEP,BOUT_TYPE,STEP,DUT
1648741080000,1648741140000,UTC+0900,2022-04-01 00:38:00,2022-04-01 00:39:00,6.0,0.0,PHONE_ONLY,6.0,1
1648773660000,1648773780000,UTC+0900,2022-04-01 09:41:00,2022-04-01 09:43:00,26.0,31.0,BOTH,28.5,2
1648773840000,1648774680000,UTC+0900,2022-04-01 09:44:00,2022-04-01 09:58:00,1518.0,1505.0,BOTH,1511.5,14
1648774740000,1648775100000,UTC+0900,2022-04-01 09:59:00,2022-04-01 10:05:00,172.0,206.0,BOTH,189.0,6
1648778700000,1648778760000,UTC+0900,2022-04-01 11:05:00,2022-04-01 11:06:00,0.0,34.0,WEARABLE_ONLY,34.0,1
1648780440000,1648780680000,UTC+0900,2022-04-01 11:34:00,2022-04-01 11:38:00,269.0,258.0,BOTH,263.5,4
1648780740000,1648781220000,UTC+0900,2022-04-01 11:39:00,2022-04-01 11:47:00,402.0,461.0,BOTH,431.5,8
1648781580000,1648781940000,UTC+0900,2022-04-01 11:53:00,2022-04-01 11:59:00,54.0,107.0,BOTH,80.5,6
1648782120000,1648782300000,UTC+0900,2022-04-01 12:02:00,2022-04-01 12:05:00,22.0,63.0,BOTH,42.5,3
1648782360000,1648782420000,UTC+0900,2022-04-01 12:06:00,2022-04-01 12:07:00,0.0,11.0,WEARABLE_ONLY,11.0,1
1648782780000,1648782840000,UTC+0900,2022-04-01 12:13:00,2022-04-01 12:14:00,0.0,11.0,WEARABLE_ONLY,11.0,1
1648783200000,1648783260000,UTC+0900,2022-04-01 12:20:00,2022-04-01 12:21:00,0.0,12.0,WEARABLE_ONLY,12.0,1
1648783320000,1648783680000,UTC+0900,2022-04-01 12:22:00,2022-04-01 12:28:00,43.0,63.0,BOTH,53.0,6
1648783800000,1648783860000,UTC+0900,2022-04-01 12:30:00,2022-04-01 12:31:00,0.0,10.0,WEARABLE_ONLY,10.0,1
1648783920000,1648783980000,UTC+0900,2022-04-01 12:32:00,2022-04-01 12:33:00,0.0,20.0,WEARABLE_ONLY,20.0,1
1648784160000,1648784280000,UTC+0900,2022-04-01 12:36:00,2022-04-01 12:38:00,0.0,28.0,WEARABLE_ONLY,28.0,2
1648784340000,1648784400000,UTC+0900,2022-04-01 12:39:00,2022-04-01 12:40:00,0.0,14.0,WEARABLE_ONLY,14.0,1
1648784520000,1648784700000,UTC+0900,2022-04-01 12:42:00,2022-04-01 12:45:00,7.0,37.0,BOTH,22.0,3
1648785120000,1648785240000,UTC+0900,2022-04-01 12:52:00,2022-04-01 12:54:00,21.0,52.0,BOTH,36.5,2
1648785360000,1648785480000,UTC+0900,2022-04-01 12:56:00,2022-04-01 12:58:00,59.0,51.0,BOTH,55.0,2
1648785720000,1648786200000,UTC+0900,2022-04-01 13:02:00,2022-04-01 13:10:00,662.0,592.0,BOTH,627.0,8
1648786320000,1648786500000,UTC+0900,2022-04-01 13:12:00,2022-04-01 13:15:00,57.0,40.0,BOTH,48.5,3
1648786620000,1648786680000,UTC+0900,2022-04-01 13:17:00,2022-04-01 13:18:00,63.0,13.0,BOTH,38.0,1
1648786740000,1648786800000,UTC+0900,2022-04-01 13:19:00,2022-04-01 13:20:00,0.0,10.0,WEARABLE_ONLY,10.0,1
1648788060000,1648788180000,UTC+0900,2022-04-01 13:41:00,2022-04-01 13:43:00,0.0,45.0,WEARABLE_ONLY,45.0,2
1648788660000,1648789140000,UTC+0900,2022-04-01 13:51:00,2022-04-01 13:59:00,393.0,427.0,BOTH,410.0,8
1648789440000,1648789620000,UTC+0900,2022-04-01 14:04:00,2022-04-01 14:07:00,123.0,106.0,BOTH,114.5,3
