START,UTC,READABLE_START,PHONE_STEP,WEARABLE_STEP
1625152140000,UTC+0900,2021-07-02 00:09:00,0.0,7.0
1625154960000,UTC+0900,2021-07-02 00:56:00,0.0,7.0
1625155080000,UTC+0900,2021-07-02 00:58:00,0.0,3.0
1625156100000,UTC+0900,2021-07-02 01:15:00,0.0,11.0
1625160480000,UTC+0900,2021-07-02 02:28:00,0.0,15.0
1625171460000,UTC+0900,2021-07-02 05:31:00,0.0,7.0
1625172840000,UTC+0900,2021-07-02 05:54:00,0.0,3.0
1625173020000,UTC+0900,2021-07-02 05:57:00,0.0,11.0
1625173320000,UTC+0900,2021-07-02 06:02:00,0.0,18.0
1625177400000,UTC+0900,2021-07-02 07:10:00,0.0,2.0
1625178900000,UTC+0900,2021-07-02 07:35:00,0.0,6.0
1625184000000,UTC+0900,2021-07-02 09:00:00,0.0,18.0
1625184120000,UTC+0900,2021-07-02 09:02:00,0.0,18.0
1625184300000,UTC+0900,2021-07-02 09:05:00,0.0,11.0
1625184600000,UTC+0900,2021-07-02 09:10:00,0.0,17.0
1625184900000,UTC+0900,2021-07-02 09:15:00,0.0,16.0
1625185200000,UTC+0900,2021-07-02 09:20:00,0.0,10.0
1625185500000,UTC+0900,2021-07-02 09:25:00,0.0,18.0
1625185800000,UTC+0900,2021-07-02 09:30:00,0.0,15.0
1625187000000,UTC+0900,2021-07-02 09:50:00,0.0,17.0
1625187300000,UTC+0900,2021-07-02 09:55:00,0.0,12.0
1625187840000,UTC+0900,2021-07-02 10:04:00,0.0,8.0
1625188140000,UTC+0900,2021-07-02 10:09:00,0.0,1.0
1625188620000,UTC+0900,2021-07-02 10:17:00,17.0,0.0
1625188680000,UTC+0900,2021-07-02 10:18:00,7.0,0.0
1625190000000,UTC+0900,2021-07-02 10:40:00,8.0,0.0
1625192700000,UTC+0900,2021-07-02 11:25:00,26.0,0.0
1625192760000,UTC+0900,2021-07-02 11:26:00,1.0,14.0
