START,UTC,READABLE_START,PHONE_STEP,WEARABLE_STEP
1635174060000,UTC+0900,2021-10-26 00:01:00,25.0,0.0
1635174120000,UTC+0900,2021-10-26 00:02:00,6.0,0.0
1635175020000,UTC+0900,2021-10-26 00:17:00,7.0,0.0
1635211740000,UTC+0900,2021-10-26 10:29:00,13.0,0.0
1635212160000,UTC+0900,2021-10-26 10:36:00,31.0,0.0
1635212220000,UTC+0900,2021-10-26 10:37:00,34.0,0.0
1635212280000,UTC+0900,2021-10-26 10:38:00,47.0,0.0
1635212340000,UTC+0900,2021-10-26 10:39:00,44.0,0.0
1635212460000,UTC+0900,2021-10-26 10:41:00,93.0,53.0
1635212520000,UTC+0900,2021-10-26 10:42:00,54.0,49.0
1635212760000,UTC+0900,2021-10-26 10:46:00,36.0,16.0
1635212880000,UTC+0900,2021-10-26 10:48:00,10.0,0.0
1635213600000,UTC+0900,2021-10-26 11:00:00,77.0,46.0
1635213660000,UTC+0900,2021-10-26 11:01:00,115.0,122.0
1635213720000,UTC+0900,2021-10-26 11:02:00,95.0,112.0
1635213780000,UTC+0900,2021-10-26 11:03:00,82.0,85.0
1635213840000,UTC+0900,2021-10-26 11:04:00,108.0,117.0
1635213900000,UTC+0900,2021-10-26 11:05:00,70.0,76.0
1635213960000,UTC+0900,2021-10-26 11:06:00,70.0,64.0
1635214020000,UTC+0900,2021-10-26 11:07:00,111.0,115.0
1635214080000,UTC+0900,2021-10-26 11:08:00,111.0,109.0
1635214140000,UTC+0900,2021-10-26 11:09:00,107.0,113.0
1635214200000,UTC+0900,2021-10-26 11:10:00,7.0,9.0
1635214320000,UTC+0900,2021-10-26 11:12:00,9.0,0.0
1635214440000,UTC+0900,2021-10-26 11:14:00,6.0,0.0
1635215160000,UTC+0900,2021-10-26 11:26:00,0.0,15.0
1635215220000,UTC+0900,2021-10-26 11:27:00,0.0,7.0
1635215400000,UTC+0900,2021-10-26 11:30:00,0.0,13.0
1635215460000,UTC+0900,2021-10-26 11:31:00,42.0,39.0
1635215520000,UTC+0900,2021-10-26 11:32:00,24.0,47.0
1635215580000,UTC+0900,2021-10-26 11:33:00,94.0,93.0
1635215640000,UTC+0900,2021-10-26 11:34:00,84.0,85.0
1635215700000,UTC+0900,2021-10-26 11:35:00,80.0,87.0
1635215760000,UTC+0900,2021-10-26 11:36:00,57.0,78.0
1635215820000,UTC+0900,2021-10-26 11:37:00,1.0,18.0
1635215880000,UTC+0900,2021-10-26 11:38:00,41.0,72.0
1635215940000,UTC+0900,2021-10-26 11:39:00,12.0,21.0
1635218580000,UTC+0900,2021-10-26 12:23:00,17.0,0.0
1635220980000,UTC+0900,2021-10-26 13:03:00,25.0,0.0
1635221580000,UTC+0900,2021-10-26 13:13:00,44.0,0.0
1635222180000,UTC+0900,2021-10-26 13:23:00,13.0,0.0
1635222360000,UTC+0900,2021-10-26 13:26:00,7.0,0.0
1635225120000,UTC+0900,2021-10-26 14:12:00,8.0,0.0
1635225180000,UTC+0900,2021-10-26 14:13:00,77.0,60.0
1635225240000,UTC+0900,2021-10-26 14:14:00,82.0,0.0
1635225300000,UTC+0900,2021-10-26 14:15:00,118.0,0.0
1635225360000,UTC+0900,2021-10-26 14:16:00,114.0,0.0
1635225420000,UTC+0900,2021-10-26 14:17:00,107.0,0.0
1635225480000,UTC+0900,2021-10-26 14:18:00,49.0,0.0
1635226140000,UTC+0900,2021-10-26 14:29:00,17.0,0.0
1635226200000,UTC+0900,2021-10-26 14:30:00,33.0,0.0
1635226260000,UTC+0900,2021-10-26 14:31:00,15.0,0.0
1635226380000,UTC+0900,2021-10-26 14:33:00,6.0,0.0
1635226440000,UTC+0900,2021-10-26 14:34:00,60.0,0.0
1635226500000,UTC+0900,2021-10-26 14:35:00,64.0,0.0
1635226560000,UTC+0900,2021-10-26 14:36:00,61.0,0.0
1635226620000,UTC+0900,2021-10-26 14:37:00,75.0,0.0
1635226680000,UTC+0900,2021-10-26 14:38:00,51.0,0.0
1635226740000,UTC+0900,2021-10-26 14:39:00,59.0,0.0
1635226800000,UTC+0900,2021-10-26 14:40:00,35.0,0.0
1635228300000,UTC+0900,2021-10-26 15:05:00,7.0,0.0
1635230880000,UTC+0900,2021-10-26 15:48:00,14.0,0.0
1635233700000,UTC+0900,2021-10-26 16:35:00,7.0,0.0
1635234720000,UTC+0900,2021-10-26 16:52:00,26.0,35.0
1635234780000,UTC+0900,2021-10-26 16:53:00,42.0,52.0
1635234840000,UTC+0900,2021-10-26 16:54:00,36.0,83.0
1635234900000,UTC+0900,2021-10-26 16:55:00,46.0,66.0
1635234960000,UTC+0900,2021-10-26 16:56:00,78.0,81.0
1635235020000,UTC+0900,2021-10-26 16:57:00,49.0,66.0
1635235080000,UTC+0900,2021-10-26 16:58:00,97.0,103.0
1635235140000,UTC+0900,2021-10-26 16:59:00,43.0,56.0
1635235200000,UTC+0900,2021-10-26 17:00:00,63.0,77.0
1635235260000,UTC+0900,2021-10-26 17:01:00,0.0,1.0
1635235320000,UTC+0900,2021-10-26 17:02:00,25.0,0.0
1635237360000,UTC+0900,2021-10-26 17:36:00,26.0,19.0
1635237420000,UTC+0900,2021-10-26 17:37:00,75.0,70.0
1635237480000,UTC+0900,2021-10-26 17:38:00,45.0,57.0
1635237540000,UTC+0900,2021-10-26 17:39:00,56.0,56.0
1635237600000,UTC+0900,2021-10-26 17:40:00,93.0,69.0
1635237660000,UTC+0900,2021-10-26 17:41:00,94.0,92.0
1635237720000,UTC+0900,2021-10-26 17:42:00,83.0,79.0
1635237780000,UTC+0900,2021-10-26 17:43:00,69.0,63.0
1635237840000,UTC+0900,2021-10-26 17:44:00,47.0,58.0
1635237900000,UTC+0900,2021-10-26 17:45:00,75.0,68.0
1635237960000,UTC+0900,2021-10-26 17:46:00,107.0,108.0
1635238020000,UTC+0900,2021-10-26 17:47:00,102.0,109.0
1635238080000,UTC+0900,2021-10-26 17:48:00,84.0,74.0
1635239220000,UTC+0900,2021-10-26 18:07:00,0.0,10.0
1635239280000,UTC+0900,2021-10-26 18:08:00,0.0,20.0
1635239340000,UTC+0900,2021-10-26 18:09:00,15.0,25.0
1635239400000,UTC+0900,2021-10-26 18:10:00,103.0,107.0
1635239460000,UTC+0900,2021-10-26 18:11:00,106.0,107.0
1635239520000,UTC+0900,2021-10-26 18:12:00,104.0,106.0
1635239580000,UTC+0900,2021-10-26 18:13:00,96.0,100.0
1635239640000,UTC+0900,2021-10-26 18:14:00,65.0,74.0
1635239700000,UTC+0900,2021-10-26 18:15:00,48.0,54.0
1635239760000,UTC+0900,2021-10-26 18:16:00,108.0,111.0
1635239820000,UTC+0900,2021-10-26 18:17:00,67.0,87.0
1635239880000,UTC+0900,2021-10-26 18:18:00,40.0,34.0
1635239940000,UTC+0900,2021-10-26 18:19:00,107.0,106.0
1635240000000,UTC+0900,2021-10-26 18:20:00,108.0,108.0
1635240060000,UTC+0900,2021-10-26 18:21:00,47.0,59.0
1635240120000,UTC+0900,2021-10-26 18:22:00,19.0,17.0
1635241860000,UTC+0900,2021-10-26 18:51:00,12.0,10.0
1635241920000,UTC+0900,2021-10-26 18:52:00,84.0,93.0
1635241980000,UTC+0900,2021-10-26 18:53:00,63.0,81.0
1635242040000,UTC+0900,2021-10-26 18:54:00,6.0,19.0
1635242100000,UTC+0900,2021-10-26 18:55:00,52.0,45.0
1635242160000,UTC+0900,2021-10-26 18:56:00,21.0,56.0
1635242220000,UTC+0900,2021-10-26 18:57:00,0.0,6.0
1635244080000,UTC+0900,2021-10-26 19:28:00,32.0,0.0
1635244140000,UTC+0900,2021-10-26 19:29:00,25.0,0.0
1635244260000,UTC+0900,2021-10-26 19:31:00,19.0,0.0
1635244320000,UTC+0900,2021-10-26 19:32:00,47.0,0.0
1635244380000,UTC+0900,2021-10-26 19:33:00,41.0,0.0
1635244620000,UTC+0900,2021-10-26 19:37:00,41.0,0.0
1635245520000,UTC+0900,2021-10-26 19:52:00,20.0,0.0
1635245940000,UTC+0900,2021-10-26 19:59:00,13.0,0.0
1635246360000,UTC+0900,2021-10-26 20:06:00,11.0,31.0
1635267780000,UTC+0900,2021-10-27 02:03:00,12.0,0.0
1635271920000,UTC+0900,2021-10-27 03:12:00,14.0,0.0
1635273420000,UTC+0900,2021-10-27 03:37:00,8.0,0.0
1635276180000,UTC+0900,2021-10-27 04:23:00,11.0,0.0
1635302100000,UTC+0900,2021-10-27 11:35:00,7.0,0.0
1635302640000,UTC+0900,2021-10-27 11:44:00,20.0,0.0
1635303240000,UTC+0900,2021-10-27 11:54:00,46.0,41.0
1635303360000,UTC+0900,2021-10-27 11:56:00,10.0,7.0
1635303420000,UTC+0900,2021-10-27 11:57:00,89.0,93.0
1635303480000,UTC+0900,2021-10-27 11:58:00,19.0,0.0
1635303540000,UTC+0900,2021-10-27 11:59:00,84.0,82.0
1635303600000,UTC+0900,2021-10-27 12:00:00,41.0,52.0
1635303660000,UTC+0900,2021-10-27 12:01:00,9.0,0.0
1635304440000,UTC+0900,2021-10-27 12:14:00,58.0,64.0
1635304500000,UTC+0900,2021-10-27 12:15:00,112.0,105.0
1635304560000,UTC+0900,2021-10-27 12:16:00,111.0,104.0
1635304620000,UTC+0900,2021-10-27 12:17:00,79.0,69.0
1635304680000,UTC+0900,2021-10-27 12:18:00,47.0,55.0
1635304740000,UTC+0900,2021-10-27 12:19:00,106.0,108.0
1635304800000,UTC+0900,2021-10-27 12:20:00,108.0,111.0
1635304860000,UTC+0900,2021-10-27 12:21:00,54.0,55.0
1635304920000,UTC+0900,2021-10-27 12:22:00,108.0,107.0
1635304980000,UTC+0900,2021-10-27 12:23:00,109.0,110.0
1635305040000,UTC+0900,2021-10-27 12:24:00,104.0,101.0
1635305100000,UTC+0900,2021-10-27 12:25:00,71.0,76.0
1635305160000,UTC+0900,2021-10-27 12:26:00,26.0,39.0
1635307020000,UTC+0900,2021-10-27 12:57:00,6.0,0.0
1635307980000,UTC+0900,2021-10-27 13:13:00,0.0,16.0
1635308040000,UTC+0900,2021-10-27 13:14:00,0.0,16.0
1635308100000,UTC+0900,2021-10-27 13:15:00,46.0,29.0
1635308160000,UTC+0900,2021-10-27 13:16:00,60.0,57.0
1635308220000,UTC+0900,2021-10-27 13:17:00,83.0,99.0
1635308280000,UTC+0900,2021-10-27 13:18:00,69.0,84.0
1635308340000,UTC+0900,2021-10-27 13:19:00,84.0,96.0
1635308400000,UTC+0900,2021-10-27 13:20:00,54.0,81.0
1635308460000,UTC+0900,2021-10-27 13:21:00,27.0,49.0
1635308520000,UTC+0900,2021-10-27 13:22:00,59.0,76.0
1635308580000,UTC+0900,2021-10-27 13:23:00,24.0,34.0
1635314160000,UTC+0900,2021-10-27 14:56:00,8.0,0.0
1635314220000,UTC+0900,2021-10-27 14:57:00,2.0,0.0
1635314640000,UTC+0900,2021-10-27 15:04:00,20.0,0.0
1635318120000,UTC+0900,2021-10-27 16:02:00,0.0,22.0
1635318180000,UTC+0900,2021-10-27 16:03:00,15.0,10.0
1635321300000,UTC+0900,2021-10-27 16:55:00,27.0,0.0
1635321420000,UTC+0900,2021-10-27 16:57:00,15.0,0.0
1635321480000,UTC+0900,2021-10-27 16:58:00,58.0,69.0
1635321540000,UTC+0900,2021-10-27 16:59:00,67.0,100.0
1635321600000,UTC+0900,2021-10-27 17:00:00,82.0,105.0
1635321660000,UTC+0900,2021-10-27 17:01:00,92.0,104.0
1635321720000,UTC+0900,2021-10-27 17:02:00,68.0,118.0
1635321780000,UTC+0900,2021-10-27 17:03:00,64.0,79.0
1635321840000,UTC+0900,2021-10-27 17:04:00,54.0,58.0
1635321960000,UTC+0900,2021-10-27 17:06:00,16.0,11.0
1635322260000,UTC+0900,2021-10-27 17:11:00,6.0,0.0
1635323880000,UTC+0900,2021-10-27 17:38:00,76.0,61.0
1635323940000,UTC+0900,2021-10-27 17:39:00,63.0,95.0
1635324000000,UTC+0900,2021-10-27 17:40:00,21.0,46.0
1635324060000,UTC+0900,2021-10-27 17:41:00,24.0,72.0
1635324120000,UTC+0900,2021-10-27 17:42:00,81.0,82.0
1635324180000,UTC+0900,2021-10-27 17:43:00,24.0,27.0
1635324240000,UTC+0900,2021-10-27 17:44:00,20.0,65.0
1635324300000,UTC+0900,2021-10-27 17:45:00,0.0,32.0
1635324360000,UTC+0900,2021-10-27 17:46:00,49.0,66.0
1635324420000,UTC+0900,2021-10-27 17:47:00,75.0,94.0
1635324480000,UTC+0900,2021-10-27 17:48:00,13.0,43.0
1635324540000,UTC+0900,2021-10-27 17:49:00,23.0,74.0
1635324600000,UTC+0900,2021-10-27 17:50:00,0.0,12.0
1635324660000,UTC+0900,2021-10-27 17:51:00,7.0,0.0
1635324720000,UTC+0900,2021-10-27 17:52:00,9.0,0.0
1635325440000,UTC+0900,2021-10-27 18:04:00,29.0,0.0
1635325500000,UTC+0900,2021-10-27 18:05:00,85.0,84.0
1635325560000,UTC+0900,2021-10-27 18:06:00,61.0,72.0
1635325620000,UTC+0900,2021-10-27 18:07:00,28.0,24.0
1635325680000,UTC+0900,2021-10-27 18:08:00,31.0,10.0
1635325740000,UTC+0900,2021-10-27 18:09:00,23.0,25.0
1635325800000,UTC+0900,2021-10-27 18:10:00,15.0,24.0
1635325920000,UTC+0900,2021-10-27 18:12:00,0.0,7.0
1635325980000,UTC+0900,2021-10-27 18:13:00,16.0,0.0
1635326040000,UTC+0900,2021-10-27 18:14:00,21.0,8.0
1635326460000,UTC+0900,2021-10-27 18:21:00,64.0,45.0
1635326520000,UTC+0900,2021-10-27 18:22:00,104.0,47.0
1635326580000,UTC+0900,2021-10-27 18:23:00,73.0,68.0
1635326640000,UTC+0900,2021-10-27 18:24:00,106.0,95.0
1635326700000,UTC+0900,2021-10-27 18:25:00,83.0,86.0
1635326760000,UTC+0900,2021-10-27 18:26:00,79.0,66.0
1635326820000,UTC+0900,2021-10-27 18:27:00,29.0,30.0
1635326880000,UTC+0900,2021-10-27 18:28:00,13.0,11.0
1635326940000,UTC+0900,2021-10-27 18:29:00,51.0,59.0
1635327000000,UTC+0900,2021-10-27 18:30:00,26.0,33.0
1635327180000,UTC+0900,2021-10-27 18:33:00,58.0,26.0
1635327240000,UTC+0900,2021-10-27 18:34:00,17.0,0.0
1635327300000,UTC+0900,2021-10-27 18:35:00,88.0,77.0
1635327360000,UTC+0900,2021-10-27 18:36:00,90.0,93.0
1635327420000,UTC+0900,2021-10-27 18:37:00,13.0,12.0
1635327480000,UTC+0900,2021-10-27 18:38:00,48.0,31.0
1635327600000,UTC+0900,2021-10-27 18:40:00,20.0,20.0
1635327660000,UTC+0900,2021-10-27 18:41:00,0.0,11.0
1635327720000,UTC+0900,2021-10-27 18:42:00,0.0,13.0
1635327780000,UTC+0900,2021-10-27 18:43:00,39.0,54.0
1635327840000,UTC+0900,2021-10-27 18:44:00,16.0,27.0
1635327900000,UTC+0900,2021-10-27 18:45:00,16.0,14.0
1635328020000,UTC+0900,2021-10-27 18:47:00,69.0,19.0
1635328080000,UTC+0900,2021-10-27 18:48:00,38.0,0.0
1635328140000,UTC+0900,2021-10-27 18:49:00,5.0,12.0
1635328200000,UTC+0900,2021-10-27 18:50:00,10.0,12.0
1635328320000,UTC+0900,2021-10-27 18:52:00,17.0,31.0
1635328380000,UTC+0900,2021-10-27 18:53:00,9.0,10.0
1635328440000,UTC+0900,2021-10-27 18:54:00,11.0,11.0
1635328500000,UTC+0900,2021-10-27 18:55:00,38.0,23.0
1635328560000,UTC+0900,2021-10-27 18:56:00,10.0,21.0
1635328620000,UTC+0900,2021-10-27 18:57:00,47.0,42.0
1635328680000,UTC+0900,2021-10-27 18:58:00,31.0,41.0
1635328740000,UTC+0900,2021-10-27 18:59:00,8.0,24.0
1635328800000,UTC+0900,2021-10-27 19:00:00,0.0,18.0
1635328860000,UTC+0900,2021-10-27 19:01:00,15.0,10.0
1635328920000,UTC+0900,2021-10-27 19:02:00,98.0,59.0
1635328980000,UTC+0900,2021-10-27 19:03:00,103.0,106.0
1635329040000,UTC+0900,2021-10-27 19:04:00,82.0,61.0
1635329100000,UTC+0900,2021-10-27 19:05:00,46.0,53.0
1635329160000,UTC+0900,2021-10-27 19:06:00,41.0,35.0
1635329220000,UTC+0900,2021-10-27 19:07:00,7.0,18.0
1635329340000,UTC+0900,2021-10-27 19:09:00,35.0,18.0
1635329400000,UTC+0900,2021-10-27 19:10:00,22.0,0.0
1635329520000,UTC+0900,2021-10-27 19:12:00,7.0,0.0
1635329640000,UTC+0900,2021-10-27 19:14:00,19.0,0.0
1635329700000,UTC+0900,2021-10-27 19:15:00,61.0,17.0
1635329760000,UTC+0900,2021-10-27 19:16:00,38.0,15.0
1635331740000,UTC+0900,2021-10-27 19:49:00,97.0,0.0
1635331800000,UTC+0900,2021-10-27 19:50:00,47.0,20.0
1635331860000,UTC+0900,2021-10-27 19:51:00,105.0,105.0
1635331920000,UTC+0900,2021-10-27 19:52:00,101.0,91.0
1635331980000,UTC+0900,2021-10-27 19:53:00,101.0,69.0
1635332040000,UTC+0900,2021-10-27 19:54:00,97.0,74.0
1635332100000,UTC+0900,2021-10-27 19:55:00,108.0,113.0
1635332160000,UTC+0900,2021-10-27 19:56:00,76.0,90.0
1635332220000,UTC+0900,2021-10-27 19:57:00,50.0,10.0
1635332280000,UTC+0900,2021-10-27 19:58:00,54.0,20.0
1635332340000,UTC+0900,2021-10-27 19:59:00,27.0,25.0
1635333360000,UTC+0900,2021-10-27 20:16:00,0.0,25.0
1635333420000,UTC+0900,2021-10-27 20:17:00,69.0,84.0
1635333480000,UTC+0900,2021-10-27 20:18:00,64.0,44.0
1635333540000,UTC+0900,2021-10-27 20:19:00,56.0,39.0
1635333600000,UTC+0900,2021-10-27 20:20:00,22.0,38.0
1635333660000,UTC+0900,2021-10-27 20:21:00,0.0,21.0
1635335040000,UTC+0900,2021-10-27 20:44:00,21.0,0.0
1635336180000,UTC+0900,2021-10-27 21:03:00,18.0,0.0
1635337080000,UTC+0900,2021-10-27 21:18:00,0.0,11.0
1635337320000,UTC+0900,2021-10-27 21:22:00,0.0,10.0
1635338880000,UTC+0900,2021-10-27 21:48:00,62.0,0.0
1635338940000,UTC+0900,2021-10-27 21:49:00,14.0,0.0
1635340260000,UTC+0900,2021-10-27 22:11:00,8.0,0.0
1635340440000,UTC+0900,2021-10-27 22:14:00,9.0,0.0
1635341220000,UTC+0900,2021-10-27 22:27:00,11.0,0.0
1635341760000,UTC+0900,2021-10-27 22:36:00,10.0,0.0
1635341880000,UTC+0900,2021-10-27 22:38:00,29.0,0.0
1635341940000,UTC+0900,2021-10-27 22:39:00,18.0,0.0
1635352020000,UTC+0900,2021-10-28 01:27:00,6.0,0.0
1635403920000,UTC+0900,2021-10-28 15:52:00,27.0,0.0
1635405360000,UTC+0900,2021-10-28 16:16:00,6.0,0.0
1635407640000,UTC+0900,2021-10-28 16:54:00,6.0,0.0
1635422940000,UTC+0900,2021-10-28 21:09:00,15.0,0.0
1635423000000,UTC+0900,2021-10-28 21:10:00,9.0,0.0
1635423240000,UTC+0900,2021-10-28 21:14:00,19.0,0.0
1635423420000,UTC+0900,2021-10-28 21:17:00,15.0,0.0
1635423540000,UTC+0900,2021-10-28 21:19:00,68.0,0.0
1635423600000,UTC+0900,2021-10-28 21:20:00,17.0,0.0
1635423780000,UTC+0900,2021-10-28 21:23:00,15.0,0.0
1635424680000,UTC+0900,2021-10-28 21:38:00,27.0,0.0
1635425640000,UTC+0900,2021-10-28 21:54:00,20.0,12.0
1635426000000,UTC+0900,2021-10-28 22:00:00,11.0,0.0
1635426180000,UTC+0900,2021-10-28 22:03:00,15.0,0.0
1635426300000,UTC+0900,2021-10-28 22:05:00,9.0,0.0
1635432720000,UTC+0900,2021-10-28 23:52:00,20.0,0.0
1635434400000,UTC+0900,2021-10-29 00:20:00,12.0,0.0
1635434460000,UTC+0900,2021-10-29 00:21:00,14.0,0.0
1635436740000,UTC+0900,2021-10-29 00:59:00,31.0,0.0
1635436920000,UTC+0900,2021-10-29 01:02:00,16.0,0.0
1635436980000,UTC+0900,2021-10-29 01:03:00,9.0,0.0
1635437040000,UTC+0900,2021-10-29 01:04:00,15.0,0.0
1635437100000,UTC+0900,2021-10-29 01:05:00,17.0,0.0
1635437160000,UTC+0900,2021-10-29 01:06:00,40.0,0.0
1635437580000,UTC+0900,2021-10-29 01:13:00,15.0,0.0
1635454020000,UTC+0900,2021-10-29 05:47:00,13.0,0.0
1635500340000,UTC+0900,2021-10-29 18:39:00,13.0,0.0
1635502500000,UTC+0900,2021-10-29 19:15:00,6.0,0.0
1635502560000,UTC+0900,2021-10-29 19:16:00,29.0,0.0
1635502620000,UTC+0900,2021-10-29 19:17:00,10.0,0.0
1635502680000,UTC+0900,2021-10-29 19:18:00,9.0,0.0
1635502800000,UTC+0900,2021-10-29 19:20:00,7.0,0.0
1635502860000,UTC+0900,2021-10-29 19:21:00,7.0,0.0
1635502920000,UTC+0900,2021-10-29 19:22:00,28.0,0.0
1635503160000,UTC+0900,2021-10-29 19:26:00,20.0,0.0
1635503220000,UTC+0900,2021-10-29 19:27:00,0.0,0.0
1635503340000,UTC+0900,2021-10-29 19:29:00,6.0,0.0
1635504180000,UTC+0900,2021-10-29 19:43:00,16.0,0.0
1635504540000,UTC+0900,2021-10-29 19:49:00,7.0,0.0
1635504660000,UTC+0900,2021-10-29 19:51:00,7.0,0.0
