START,UTC,READABLE_START,PHONE_STEP,WEARABLE_STEP
1636815780000,UTC+0900,2021-11-14 00:03:00,0.0,7.0
1636826340000,UTC+0900,2021-11-14 02:59:00,0.0,8.0
1636833720000,UTC+0900,2021-11-14 05:02:00,0.0,14.0
1636842540000,UTC+0900,2021-11-14 07:29:00,0.0,21.0
1636853100000,UTC+0900,2021-11-14 10:25:00,0.0,28.0
1636853160000,UTC+0900,2021-11-14 10:26:00,0.0,38.0
1636853220000,UTC+0900,2021-11-14 10:27:00,0.0,3.0
1636853460000,UTC+0900,2021-11-14 10:31:00,0.0,11.0
1636856700000,UTC+0900,2021-11-14 11:25:00,22.0,6.0
1636856820000,UTC+0900,2021-11-14 11:27:00,0.0,2.0
1636856880000,UTC+0900,2021-11-14 11:28:00,0.0,13.0
1636857600000,UTC+0900,2021-11-14 11:40:00,19.0,0.0
1636857660000,UTC+0900,2021-11-14 11:41:00,0.0,12.0
1636863240000,UTC+0900,2021-11-14 13:14:00,0.0,10.0
1636863780000,UTC+0900,2021-11-14 13:23:00,0.0,11.0
1636863840000,UTC+0900,2021-11-14 13:24:00,0.0,14.0
1636864080000,UTC+0900,2021-11-14 13:28:00,0.0,24.0
1636864140000,UTC+0900,2021-11-14 13:29:00,0.0,14.0
1636864260000,UTC+0900,2021-11-14 13:31:00,0.0,19.0
1636864320000,UTC+0900,2021-11-14 13:32:00,0.0,14.0
1636864740000,UTC+0900,2021-11-14 13:39:00,0.0,7.0
1636864800000,UTC+0900,2021-11-14 13:40:00,0.0,13.0
1636864860000,UTC+0900,2021-11-14 13:41:00,0.0,28.0
1636864920000,UTC+0900,2021-11-14 13:42:00,0.0,7.0
1636867380000,UTC+0900,2021-11-14 14:23:00,0.0,21.0
1636867500000,UTC+0900,2021-11-14 14:25:00,0.0,7.0
1636867560000,UTC+0900,2021-11-14 14:26:00,0.0,25.0
1636867620000,UTC+0900,2021-11-14 14:27:00,0.0,20.0
1636867680000,UTC+0900,2021-11-14 14:28:00,16.0,7.0
1636867740000,UTC+0900,2021-11-14 14:29:00,96.0,88.0
1636867800000,UTC+0900,2021-11-14 14:30:00,92.0,88.0
1636867980000,UTC+0900,2021-11-14 14:33:00,7.0,0.0
1636868040000,UTC+0900,2021-11-14 14:34:00,0.0,7.0
1636868160000,UTC+0900,2021-11-14 14:36:00,41.0,30.0
1636868400000,UTC+0900,2021-11-14 14:40:00,31.0,0.0
1636868460000,UTC+0900,2021-11-14 14:41:00,13.0,11.0
1636868940000,UTC+0900,2021-11-14 14:49:00,34.0,11.0
1636869000000,UTC+0900,2021-11-14 14:50:00,12.0,0.0
1636869060000,UTC+0900,2021-11-14 14:51:00,23.0,11.0
1636869120000,UTC+0900,2021-11-14 14:52:00,34.0,13.0
1636869180000,UTC+0900,2021-11-14 14:53:00,6.0,0.0
1636869840000,UTC+0900,2021-11-14 15:04:00,69.0,39.0
1636869900000,UTC+0900,2021-11-14 15:05:00,114.0,113.0
1636869960000,UTC+0900,2021-11-14 15:06:00,108.0,97.0
1636870020000,UTC+0900,2021-11-14 15:07:00,83.0,82.0
1636870080000,UTC+0900,2021-11-14 15:08:00,65.0,61.0
1636870260000,UTC+0900,2021-11-14 15:11:00,29.0,21.0
1636870320000,UTC+0900,2021-11-14 15:12:00,113.0,112.0
1636870380000,UTC+0900,2021-11-14 15:13:00,115.0,111.0
1636870440000,UTC+0900,2021-11-14 15:14:00,70.0,57.0
1636870500000,UTC+0900,2021-11-14 15:15:00,8.0,0.0
1636870560000,UTC+0900,2021-11-14 15:16:00,26.0,0.0
1636870620000,UTC+0900,2021-11-14 15:17:00,11.0,0.0
1636871220000,UTC+0900,2021-11-14 15:27:00,94.0,89.0
1636871280000,UTC+0900,2021-11-14 15:28:00,103.0,98.0
1636871340000,UTC+0900,2021-11-14 15:29:00,12.0,17.0
1636871400000,UTC+0900,2021-11-14 15:30:00,61.0,34.0
1636871460000,UTC+0900,2021-11-14 15:31:00,28.0,10.0
1636871520000,UTC+0900,2021-11-14 15:32:00,113.0,113.0
1636871580000,UTC+0900,2021-11-14 15:33:00,100.0,98.0
1636871640000,UTC+0900,2021-11-14 15:34:00,110.0,116.0
1636871700000,UTC+0900,2021-11-14 15:35:00,0.0,4.0
1636871880000,UTC+0900,2021-11-14 15:38:00,40.0,43.0
1636872540000,UTC+0900,2021-11-14 15:49:00,0.0,10.0
1636879080000,UTC+0900,2021-11-14 17:38:00,0.0,10.0
1636879140000,UTC+0900,2021-11-14 17:39:00,13.0,14.0
1636879200000,UTC+0900,2021-11-14 17:40:00,0.0,10.0
1636879260000,UTC+0900,2021-11-14 17:41:00,14.0,0.0
1636879320000,UTC+0900,2021-11-14 17:42:00,120.0,117.0
1636879380000,UTC+0900,2021-11-14 17:43:00,71.0,58.0
1636879440000,UTC+0900,2021-11-14 17:44:00,113.0,104.0
1636879500000,UTC+0900,2021-11-14 17:45:00,116.0,115.0
1636879560000,UTC+0900,2021-11-14 17:46:00,121.0,121.0
1636879620000,UTC+0900,2021-11-14 17:47:00,84.0,86.0
1636879680000,UTC+0900,2021-11-14 17:48:00,38.0,45.0
1636879740000,UTC+0900,2021-11-14 17:49:00,52.0,40.0
1636879800000,UTC+0900,2021-11-14 17:50:00,115.0,112.0
1636879860000,UTC+0900,2021-11-14 17:51:00,119.0,117.0
1636879920000,UTC+0900,2021-11-14 17:52:00,118.0,117.0
1636879980000,UTC+0900,2021-11-14 17:53:00,115.0,111.0
1636880040000,UTC+0900,2021-11-14 17:54:00,9.0,10.0
1636880100000,UTC+0900,2021-11-14 17:55:00,11.0,7.0
1636880160000,UTC+0900,2021-11-14 17:56:00,57.0,33.0
1636880220000,UTC+0900,2021-11-14 17:57:00,17.0,14.0
1636880280000,UTC+0900,2021-11-14 17:58:00,11.0,20.0
1636880460000,UTC+0900,2021-11-14 18:01:00,0.0,14.0
1636880580000,UTC+0900,2021-11-14 18:03:00,0.0,14.0
1636880640000,UTC+0900,2021-11-14 18:04:00,0.0,23.0
1636880700000,UTC+0900,2021-11-14 18:05:00,0.0,5.0
1636881060000,UTC+0900,2021-11-14 18:11:00,0.0,6.0
1636881360000,UTC+0900,2021-11-14 18:16:00,0.0,18.0
1636881420000,UTC+0900,2021-11-14 18:17:00,0.0,12.0
1636881600000,UTC+0900,2021-11-14 18:20:00,0.0,16.0
1636882920000,UTC+0900,2021-11-14 18:42:00,0.0,6.0
1636882980000,UTC+0900,2021-11-14 18:43:00,0.0,7.0
1636883100000,UTC+0900,2021-11-14 18:45:00,0.0,26.0
1636883160000,UTC+0900,2021-11-14 18:46:00,0.0,4.0
1636883280000,UTC+0900,2021-11-14 18:48:00,0.0,10.0
1636883340000,UTC+0900,2021-11-14 18:49:00,0.0,21.0
1636883400000,UTC+0900,2021-11-14 18:50:00,0.0,10.0
1636883580000,UTC+0900,2021-11-14 18:53:00,0.0,10.0
1636883820000,UTC+0900,2021-11-14 18:57:00,0.0,12.0
1636884000000,UTC+0900,2021-11-14 19:00:00,0.0,12.0
1636884060000,UTC+0900,2021-11-14 19:01:00,0.0,19.0
1636884240000,UTC+0900,2021-11-14 19:04:00,7.0,0.0
1636886100000,UTC+0900,2021-11-14 19:35:00,0.0,28.0
1636886280000,UTC+0900,2021-11-14 19:38:00,11.0,0.0
1636886340000,UTC+0900,2021-11-14 19:39:00,0.0,24.0
1636886460000,UTC+0900,2021-11-14 19:41:00,0.0,35.0
1636886580000,UTC+0900,2021-11-14 19:43:00,0.0,36.0
1636887840000,UTC+0900,2021-11-14 20:04:00,0.0,92.0
1636887900000,UTC+0900,2021-11-14 20:05:00,0.0,24.0
1636894620000,UTC+0900,2021-11-14 21:57:00,0.0,11.0
1636894680000,UTC+0900,2021-11-14 21:58:00,0.0,6.0
1636894800000,UTC+0900,2021-11-14 22:00:00,0.0,17.0
1636894860000,UTC+0900,2021-11-14 22:01:00,0.0,38.0
1636894920000,UTC+0900,2021-11-14 22:02:00,0.0,31.0
1636895040000,UTC+0900,2021-11-14 22:04:00,0.0,15.0
1636895100000,UTC+0900,2021-11-14 22:05:00,0.0,51.0
1636895160000,UTC+0900,2021-11-14 22:06:00,0.0,2.0
1636895280000,UTC+0900,2021-11-14 22:08:00,0.0,10.0
1636895400000,UTC+0900,2021-11-14 22:10:00,0.0,24.0
1636895520000,UTC+0900,2021-11-14 22:12:00,0.0,48.0
1636895640000,UTC+0900,2021-11-14 22:14:00,9.0,16.0
1636895700000,UTC+0900,2021-11-14 22:15:00,0.0,22.0
1636895760000,UTC+0900,2021-11-14 22:16:00,0.0,30.0
1636895880000,UTC+0900,2021-11-14 22:18:00,0.0,21.0
1636895940000,UTC+0900,2021-11-14 22:19:00,0.0,21.0
1636896000000,UTC+0900,2021-11-14 22:20:00,0.0,12.0
1636900200000,UTC+0900,2021-11-14 23:30:00,0.0,21.0
1636900260000,UTC+0900,2021-11-14 23:31:00,0.0,2.0
1636900320000,UTC+0900,2021-11-14 23:32:00,0.0,38.0
1636900380000,UTC+0900,2021-11-14 23:33:00,0.0,27.0
1636900440000,UTC+0900,2021-11-14 23:34:00,0.0,43.0
1636900500000,UTC+0900,2021-11-14 23:35:00,0.0,23.0
1636900560000,UTC+0900,2021-11-14 23:36:00,0.0,13.0
1636900620000,UTC+0900,2021-11-14 23:37:00,0.0,8.0
1636900680000,UTC+0900,2021-11-14 23:38:00,0.0,63.0
1636900740000,UTC+0900,2021-11-14 23:39:00,0.0,11.0
1636900860000,UTC+0900,2021-11-14 23:41:00,0.0,9.0
1636900920000,UTC+0900,2021-11-14 23:42:00,0.0,10.0
1636902180000,UTC+0900,2021-11-15 00:03:00,0.0,51.0
1636902240000,UTC+0900,2021-11-15 00:04:00,0.0,56.0
1636902300000,UTC+0900,2021-11-15 00:05:00,0.0,10.0
1636902360000,UTC+0900,2021-11-15 00:06:00,0.0,16.0
1636902480000,UTC+0900,2021-11-15 00:08:00,0.0,17.0
1636902720000,UTC+0900,2021-11-15 00:12:00,7.0,0.0
1636902780000,UTC+0900,2021-11-15 00:13:00,12.0,0.0
1636905360000,UTC+0900,2021-11-15 00:56:00,7.0,0.0
1636905960000,UTC+0900,2021-11-15 01:06:00,8.0,0.0
1636915500000,UTC+0900,2021-11-15 03:45:00,0.0,7.0
1636928700000,UTC+0900,2021-11-15 07:25:00,37.0,0.0
1636929300000,UTC+0900,2021-11-15 07:35:00,18.0,0.0
1636929600000,UTC+0900,2021-11-15 07:40:00,0.0,6.0
1636929660000,UTC+0900,2021-11-15 07:41:00,0.0,6.0
1636929780000,UTC+0900,2021-11-15 07:43:00,0.0,6.0
1636930020000,UTC+0900,2021-11-15 07:47:00,0.0,6.0
1636930140000,UTC+0900,2021-11-15 07:49:00,0.0,6.0
1636930200000,UTC+0900,2021-11-15 07:50:00,0.0,11.0
1636930260000,UTC+0900,2021-11-15 07:51:00,0.0,17.0
1636930320000,UTC+0900,2021-11-15 07:52:00,0.0,40.0
1636930440000,UTC+0900,2021-11-15 07:54:00,0.0,11.0
1636930560000,UTC+0900,2021-11-15 07:56:00,0.0,17.0
1636930620000,UTC+0900,2021-11-15 07:57:00,0.0,14.0
