START,UTC,READABLE_START,PHONE_STEP,WEARABLE_STEP
1626796860000,UTC+0900,2021-07-21 01:01:00,12.0,0.0
1626797220000,UTC+0900,2021-07-21 01:07:00,9.0,0.0
1626797280000,UTC+0900,2021-07-21 01:08:00,0.0,78.0
1626797520000,UTC+0900,2021-07-21 01:12:00,0.0,15.0
1626797580000,UTC+0900,2021-07-21 01:13:00,0.0,53.0
1626797700000,UTC+0900,2021-07-21 01:15:00,14.0,0.0
1626797760000,UTC+0900,2021-07-21 01:16:00,18.0,0.0
1626798840000,UTC+0900,2021-07-21 01:34:00,6.0,0.0
1626798900000,UTC+0900,2021-07-21 01:35:00,2.0,0.0
1626799200000,UTC+0900,2021-07-21 01:40:00,18.0,0.0
1626807060000,UTC+0900,2021-07-21 03:51:00,10.0,0.0
1626807180000,UTC+0900,2021-07-21 03:53:00,8.0,0.0
1626807300000,UTC+0900,2021-07-21 03:55:00,9.0,0.0
1626807360000,UTC+0900,2021-07-21 03:56:00,6.0,0.0
1626807840000,UTC+0900,2021-07-21 04:04:00,6.0,0.0
1626809220000,UTC+0900,2021-07-21 04:27:00,17.0,0.0
1626809280000,UTC+0900,2021-07-21 04:28:00,35.0,0.0
1626809400000,UTC+0900,2021-07-21 04:30:00,22.0,0.0
1626810900000,UTC+0900,2021-07-21 04:55:00,17.0,0.0
1626810960000,UTC+0900,2021-07-21 04:56:00,25.0,0.0
1626811020000,UTC+0900,2021-07-21 04:57:00,7.0,0.0
1626816780000,UTC+0900,2021-07-21 06:33:00,12.0,0.0
1626816900000,UTC+0900,2021-07-21 06:35:00,7.0,0.0
1626820200000,UTC+0900,2021-07-21 07:30:00,7.0,0.0
1626820740000,UTC+0900,2021-07-21 07:39:00,6.0,0.0
1626821340000,UTC+0900,2021-07-21 07:49:00,12.0,0.0
1626823380000,UTC+0900,2021-07-21 08:23:00,12.0,0.0
1626823440000,UTC+0900,2021-07-21 08:24:00,20.0,20.0
1626823500000,UTC+0900,2021-07-21 08:25:00,26.0,43.0
1626823560000,UTC+0900,2021-07-21 08:26:00,15.0,0.0
1626823620000,UTC+0900,2021-07-21 08:27:00,14.0,10.0
1626823680000,UTC+0900,2021-07-21 08:28:00,85.0,88.0
1626824100000,UTC+0900,2021-07-21 08:35:00,20.0,0.0
1626824400000,UTC+0900,2021-07-21 08:40:00,0.0,0.0
1626824460000,UTC+0900,2021-07-21 08:41:00,53.0,0.0
1626824520000,UTC+0900,2021-07-21 08:42:00,106.0,103.0
1626824580000,UTC+0900,2021-07-21 08:43:00,62.0,46.0
1626824640000,UTC+0900,2021-07-21 08:44:00,7.0,0.0
1626824700000,UTC+0900,2021-07-21 08:45:00,45.0,41.0
1626827760000,UTC+0900,2021-07-21 09:36:00,23.0,10.0
1626827820000,UTC+0900,2021-07-21 09:37:00,46.0,27.0
1626830940000,UTC+0900,2021-07-21 10:29:00,36.0,28.0
1626831000000,UTC+0900,2021-07-21 10:30:00,47.0,17.0
1626833100000,UTC+0900,2021-07-21 11:05:00,43.0,34.0
1626838920000,UTC+0900,2021-07-21 12:42:00,14.0,0.0
1626838980000,UTC+0900,2021-07-21 12:43:00,41.0,40.0
1626839040000,UTC+0900,2021-07-21 12:44:00,61.0,63.0
1626839100000,UTC+0900,2021-07-21 12:45:00,52.0,52.0
1626839160000,UTC+0900,2021-07-21 12:46:00,0.0,10.0
1626841020000,UTC+0900,2021-07-21 13:17:00,39.0,28.0
1626841080000,UTC+0900,2021-07-21 13:18:00,19.0,29.0
1626841140000,UTC+0900,2021-07-21 13:19:00,17.0,29.0
1626841200000,UTC+0900,2021-07-21 13:20:00,21.0,24.0
1626842580000,UTC+0900,2021-07-21 13:43:00,7.0,0.0
1626848040000,UTC+0900,2021-07-21 15:14:00,0.0,10.0
1626848100000,UTC+0900,2021-07-21 15:15:00,0.0,12.0
1626848160000,UTC+0900,2021-07-21 15:16:00,19.0,25.0
1626848820000,UTC+0900,2021-07-21 15:27:00,51.0,50.0
1626848940000,UTC+0900,2021-07-21 15:29:00,42.0,58.0
1626849000000,UTC+0900,2021-07-21 15:30:00,18.0,18.0
1626849840000,UTC+0900,2021-07-21 15:44:00,27.0,32.0
1626849960000,UTC+0900,2021-07-21 15:46:00,21.0,0.0
1626850320000,UTC+0900,2021-07-21 15:52:00,15.0,0.0
1626850380000,UTC+0900,2021-07-21 15:53:00,102.0,93.0
1626850440000,UTC+0900,2021-07-21 15:54:00,64.0,71.0
1626850500000,UTC+0900,2021-07-21 15:55:00,0.0,11.0
1626851340000,UTC+0900,2021-07-21 16:09:00,32.0,0.0
1626851400000,UTC+0900,2021-07-21 16:10:00,18.0,17.0
1626851460000,UTC+0900,2021-07-21 16:11:00,18.0,11.0
1626851700000,UTC+0900,2021-07-21 16:15:00,7.0,0.0
1626852420000,UTC+0900,2021-07-21 16:27:00,12.0,0.0
